runname,type,I-recall@20,D-nDCG@20
FRDC-D-C-1A,coarse,0.323578125,0.470315625
THUSAM-D-C-1A,coarse,0.58796875,0.896878125
THUSAM-D-C-1B,coarse,0.586253125,0.896878125
FRDC-D-C-4A,coarse,0.250378125,0.392190625
THUSAM-D-C-2A,coarse,0.156603125,0.618234375
TUTA1-D-C-1B,coarse,0.64900625,0.866146875
FRDC-D-C-3A,coarse,0.3122625,0.470315625
THUSAM-D-C-2B,coarse,0.160128125,0.671359375
FRDC-D-C-5A,coarse,0.25540625,0.400003125
FRDC-D-C-2A,coarse,0.27848125,0.446878125
FRDC-D-C-1A,fine,0.296384375,0.33105625
THUSAM-D-C-1A,fine,0.52910625,0.689875
THUSAM-D-C-1B,fine,0.5293125,0.689875
FRDC-D-C-4A,fine,0.232215625,0.246228125
THUSAM-D-C-2A,fine,0.1406625,0.35719375
TUTA1-D-C-1B,fine,0.563309375,0.696571875
FRDC-D-C-3A,fine,0.28879375,0.33105625
THUSAM-D-C-2B,fine,0.144103125,0.37756875
FRDC-D-C-5A,fine,0.230028125,0.2566625
FRDC-D-C-2A,fine,0.2550125,0.304859375



Sem13-D-E-1A,coarse,0.551087878788,0.796466666667
Sem13-D-E-3A,coarse,0.410624242424,0.633336363636
Sem13-D-E-2A,coarse,0.351006060606,0.628787878788
TUTA1-D-E-1B,coarse,0.637096969697,0.694957575758
udel-D-E-3A,coarse,0.0588696969697,0.167675757576
udel-D-E-2A,coarse,0.231663636364,0.537372727273
UM13-D-E-3A,coarse,0.316175757576,0.569193939394
TUTA1-D-E-2B,coarse,0.21696969697,0.485857575758
Sem13-D-E-4A,coarse,0.207045454545,0.494442424242
UM13-D-E-1A,coarse,0.510760606061,0.789906060606
udel-D-E-1A,coarse,0.551475757576,0.78283030303
UM13-D-E-2A,coarse,0.474951515152,0.752027272727
Sem13-D-E-5A,coarse,0.220827272727,0.480803030303
udel-D-E-4A,coarse,0.194090909091,0.510103030303
udel-D-E-5A,coarse,0.0206909090909,0.0393939393939
Sem13-D-E-1A,fine,0.502721212121,0.623975757576
Sem13-D-E-3A,fine,0.376824242424,0.438148484848
Sem13-D-E-2A,fine,0.327048484848,0.444818181818
TUTA1-D-E-1B,fine,0.610596969697,0.569784848485
udel-D-E-3A,fine,0.0580363636364,0.107633333333
udel-D-E-2A,fine,0.213336363636,0.336003030303
UM13-D-E-3A,fine,0.29013030303,0.379766666667
TUTA1-D-E-2B,fine,0.208196969697,0.279409090909
Sem13-D-E-4A,fine,0.184375757576,0.300539393939
UM13-D-E-1A,fine,0.46286969697,0.630978787879
udel-D-E-1A,fine,0.513763636364,0.571981818182
UM13-D-E-2A,fine,0.430090909091,0.587421212121
Sem13-D-E-5A,fine,0.202621212121,0.297918181818
udel-D-E-4A,fine,0.180709090909,0.321909090909
udel-D-E-5A,fine,0.0195909090909,0.0230636363636
