Runname,D#-nDCG@0005,I-Recall@0005,D-nDCG@0005
CNU-S-C-1A,0.451718181818,0.440403030303,0.491003030303
CNU-S-C-2A,0.454466666667,0.414142424242,0.50086969697
CNU-S-C-3A,0.419251515152,0.4101,0.421148484848
CNU-S-C-4A,0.536724242424,0.488387878788,0.586457575758
FRDC-S-C-1A,0.693484848485,0.711115151515,0.674815151515
FRDC-S-C-2A,0.407324242424,0.481309090909,0.314890909091
FRDC-S-C-3A,0.693484848485,0.711115151515,0.674815151515
FRDC-S-C-4A,0.3973,0.471712121212,0.300293939394
FRDC-S-C-5A,0.404918181818,0.470703030303,0.31786969697
KLE-S-C-1A,0.590048484848,0.63686969697,0.543996969697
KLE-S-C-2A,0.588921212121,0.64293030303,0.534206060606
KLE-S-C-3A,0.536554545455,0.648490909091,0.422651515152
KLE-S-C-4A,0.540106060606,0.654551515152,0.42636969697
THUSAM-S-C-1A,0.510372727273,0.654042424242,0.360175757576
THUSAM-S-C-2A,0.395339393939,0.524745454545,0.267490909091
THUSAM-S-C-3A,0.359815151515,0.559093939394,0.161660606061
THUSAM-S-C-4A,0.359815151515,0.559093939394,0.161660606061
THUSAM-S-C-5A,0.424190909091,0.578281818182,0.268793939394
TUTA1-S-C-1A,0.28906969697,0.46313030303,0.110448484848
